sheet_name,row_no,rule_id,category,item_name,check_item,severity,error_message,fix_action
P001,34,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P001,35,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,基本情報,R004,基本情報,天気,天気未入力,エラー,天気が未入力です,天気を選択してください
P002,基本情報,R010,地況,斜面方位,斜面方位未入力,エラー,斜面方位が未入力です,斜面方位を選択してください
P002,8,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,9,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,10,R024,毎木,胸高直径(cm),胸高直径異常(0cm以下),エラー,胸高直径が0以下です,測定値を確認してください
P002,12,R021,毎木,枝下高(m),枝下高が樹高を超過,エラー,枝下高が樹高を超えています,樹高または枝下高を確認してください
P002,14,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,17,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,18,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,21,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,22,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,23,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,24,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,27,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,28,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,29,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,30,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,31,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P002,34,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,基本情報,R006,位置情報,緯度,緯度未入力,エラー,緯度が未入力です,GNSS記録を確認してください
P003,基本情報,R009,位置情報,経度,経度形式異常,エラー,経度が数値ではありません,数値形式に修正してください
P003,基本情報,R014,地況,傾斜度,傾斜度異常,エラー,傾斜度が0〜90度の範囲外です,0〜90の数値で入力してください
P003,9,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,10,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,11,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,12,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,13,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,14,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,16,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,17,R016,毎木,樹種,樹種未入力,エラー,樹種が未入力です,樹種を入力してください
P003,19,R023,毎木,胸高直径(cm),胸高直径未入力,エラー,胸高直径が未入力です,胸高直径を入力してください
P003,19,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,20,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,21,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,27,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,28,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,29,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,30,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,31,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,32,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,33,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
P003,34,R026,毎木,被害区分,被害区分未入力,エラー,被害区分が未入力です,「なし」または該当する被害区分を選択してください
